col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120
7.4853E+020,7.5868E+020,5.6804E+019,-0.12908,4.749,7.1254E+020,7.8155E+020,38.207,36.918,3.7003,0.43818,1.7993,34.815,42.228,154.56,155.09,7.4583,-0.8417,2.8568,152.31,159.64,154.71,155.89,7.2112,-0.98862,3.2803,153.04,159.27,77.063,75.842,4.3151,0.41797,1.9495,73.343,81.017,0.6098,0.63824,0.37347,0.089277,1.8844,0.2968,0.93968,1338100000000,1327300000000,153440000000,0.69694,3.9364,1231200000000,1415900000000,-0.0093678,-0.0098916,0.011399,0.31727,2.5139,-0.018125,-0.0003808,-0.0034349,-0.0031053,0.0042015,0.25172,2.464,-0.0063409,-0.00011656,68.919,67.646,6.1507,0.20584,2.0447,63.797,75.026,4.9255,5.172,3.2481,0.40193,2.4343,2.495,6.707,423690000000,426800000000,175080000000,-0.030811,2.024,270410000000,551900000000,2632.6,2636.5,377.37,-0.078779,1.5491,2238.4,2942.6,3.9733E+021,4.0067E+021,8.512E+020,0.11717,1.6316,3.1508E+021,4.7627E+021,26.652,25.602,3.2423,0.51987,1.839,23.791,29.554,10.658,9.238,5.8128,0.4284,1.7423,5.037,16.546,44.786,45,2.2423,-0.037876,2.058,43.293,46.372,0
7.8392E+020,8.1051E+020,1.1279E+020,0.11017,1.9818,6.7972E+020,8.5284E+020,29.38,29.479,0.69978,-0.81725,3.7795,29.013,29.821,131.43,131.75,4.4183,-0.18673,3.4345,129.19,133.34,131,131.02,4.3035,-0.12165,3.6582,129.24,132.66,53.092,52.283,3.1534,0.61105,3.0235,51.056,55.56,0.19566,0.17044,0.27024,0.3272,3.4566,0.03302,0.34016,1318100000000,1279100000000,222280000000,0.70103,2.7993,1143900000000,1405600000000,-0.0063997,-0.0057556,0.0066582,-0.063114,2.6369,-0.010865,-0.0018243,-0.0015353,-0.0015362,0.0015884,-0.021366,2.5562,-0.0027172,-0.00040129,56.677,55.345,7.9327,0.88959,3.2762,51.144,59.364,2.4233,2.139,1.7302,0.66846,2.7144,0.969,3.5725,175410000000,135270000000,137310000000,1.1555,4.0225,77494000000,245820000000,1644.1,1600.3,127.6,1.1222,3.4958,1558.2,1694.6,2.8771E+021,2.9395E+021,4.493E+020,0.37785,2.3024,2.456E+021,3.1463E+021,22.62,22.443,0.85558,0.37796,2.3743,21.912,23.264,3.4956,3.32,1.1814,0.60947,2.5999,2.502,4.1975,67.328,68.518,3.7994,-1.0148,3.7036,66.443,69.565,0
9.3789E+020,8.9319E+020,1.4403E+020,-0.31813,1.8757,8.395E+020,1.0774E+021,30.48,30.623,0.93261,-0.38072,2.1391,29.714,31.223,117.49,118.81,6.738,-0.36893,2.1948,112.02,122.45,116.42,117.77,6.6022,-0.34839,2.2418,111.01,121,46.223,47.348,3.9126,-0.46808,1.7679,41.852,49.543,0.56311,0.37306,0.50686,0.94729,3.0631,0.22317,0.85801,1653100000000,1655700000000,180330000000,0.16615,3.5524,1541200000000,1759200000000,0.022374,0.016639,0.014224,1.2253,3.6249,0.011881,0.028852,0.0047369,0.0035864,0.0029587,1.0423,3.0272,0.0024879,0.0061978,68.127,68.102,6.3289,-0.025165,3.1294,64.072,71.322,7.3,6.13,3.5339,1.0626,3.6428,4.767,9.3035,464040000000,374610000000,325620000000,1.0027,3.2272,224730000000,656370000000,1865,1866.7,153.95,0.45011,2.2468,1733.8,1968.8,4.1092E+021,4.1697E+021,4.8638E+020,-0.44007,2.7352,3.7438E+021,4.483E+021,25.732,25.531,0.67766,0.43945,3.0648,25.255,26.199,5.7069,5.55,1.2505,0.32767,3.156,5.0055,6.3535,63.846,62.945,4.2001,0.18637,1.5319,59.957,68.071,0
1.8954E+021,1.8727E+021,1.45E+020,1.0299,3.531,1.7712E+021,1.9726E+021,37.267,37.235,0.56374,0.02041,3.1579,36.988,37.671,135.4,135.06,4.5722,0.43848,3.1084,133.08,137.66,135.86,135.84,4.4685,0.32688,3.1874,133.08,137.52,70.812,70.377,3.317,0.22729,2.4396,68.721,73.145,0.55499,0.59321,0.23391,-0.1776,2.3707,0.35944,0.74713,2926800000000,2882000000000,300350000000,0.611,2.4832,2707500000000,3133600000000,-0.019236,-0.01908,0.0029659,-0.060939,1.9314,-0.021922,-0.016739,-0.007217,-0.00698,0.0012815,-0.022354,1.9181,-0.008422,-0.0061801,143.38,140.24,10.386,0.56692,2.5447,136.03,151.09,19.708,19.591,2.4244,0.16842,1.9628,17.638,21.859,953820000000,963340000000,208210000000,0.067513,2.2352,786400000000,1116700000000,3465.5,3471.8,318.46,-0.18773,1.9042,3216.3,3778.8,1.2686E+022,1.2346E+022,1.3055E+021,0.74979,3.37,1.2009E+022,1.3489E+022,27.914,27.919,0.86557,-0.10675,2.0072,27.164,28.691,10.795,10.932,1.2003,-0.0099866,2.626,9.787,11.634,135.79,135.37,2.7911,0.36378,2.2756,133.61,138.01,0
1.0936E+022,1.1047E+022,1.3206E+021,0.78033,3.1891,9.735E+021,1.1772E+022,34.007,34.047,0.41585,-0.28981,2.5887,33.706,34.325,122.29,122.3,1.9884,-0.023361,2.3135,120.77,123.77,122.49,122.52,2.3351,0.018138,1.9531,120.61,124.4,55.284,55.306,1.5433,-0.53351,3.2218,54.382,56.412,0.55915,0.55484,0.2069,0.38075,2.3841,0.36595,0.67952,19979000000000,19937000000000,2606900000000,1.0196,3.731,17600000000000,21087000000000,0.0087732,0.0085194,0.0027197,0.179,2.8827,0.0069375,0.010523,0.0024172,0.002397,0.00076369,0.25238,2.8295,0.0018862,0.0029323,907.74,917.36,96.612,0.94331,3.3577,817.71,955.33,43.771,45.727,14.134,-0.18134,2.2625,31.976,54.948,5061700000000,5088300000000,1426100000000,0.28299,2.5666,3930600000000,5932500000000,2511.5,2542.9,153.88,-0.23925,1.7542,2370,2644.7,6.0047E+022,5.9068E+022,5.8227E+021,1.4191,4.8889,5.5344E+022,6.2938E+022,27.949,27.925,0.35466,0.27044,3.7656,27.712,28.175,10.122,9.967,0.74741,1.3595,5.9241,9.6765,10.422,802.37,802.53,15.721,-0.043774,1.5271,788.56,817.51,0
3.6891E+021,3.6931E+021,1.6744E+020,0.29596,2.3212,3.5289E+021,3.8111E+021,54.886,54.88,0.48016,0.41003,3.4377,54.537,55.187,103.27,102.8,3.8351,0.16028,1.6857,99.994,106.76,102.39,102.22,4.0764,0.12922,1.7472,98.754,105.86,64.625,64.367,2.9216,0.019503,1.7008,62.067,67.446,0.43723,0.43045,0.092621,0.051209,2.7886,0.37473,0.49964,5710800000000,5588200000000,503190000000,0.88592,3.5343,5334800000000,5977200000000,-0.0099467,-0.010036,0.0013362,0.35281,2.4135,-0.011005,-0.0089712,-0.0041842,-0.0043071,0.00069389,0.16295,2.0751,-0.0047023,-0.0035698,247.44,246.12,17.379,0.24652,2.8647,238.92,254.5,26.013,26.659,3.6319,-0.12933,2.663,23.609,28.263,1426500000000,1387000000000,342670000000,0.20656,2.8895,1218200000000,1659600000000,9325.2,9579.6,641.25,-0.45619,2.4745,8728.8,9769.8,7.7179E+022,7.7896E+022,2.5946E+021,-0.21586,1.7575,7.4953E+022,7.9449E+022,42.794,42.727,0.43876,0.55365,3.7619,42.463,43.109,45.607,45.478,1.2405,0.40976,2.2414,44.733,46.534,282.59,282.32,6.1988,0.60937,2.7502,279.04,284.52,0
1.8944E+020,1.7593E+020,5.6755E+019,1.026,3.7065,1.5451E+020,2.1036E+020,26.925,26.95,0.89688,-0.020722,2.3615,26.381,27.636,114.37,114.41,7.0913,-0.084541,2.3102,110.59,120.24,114.36,113.99,7.1746,-0.013677,2.2652,110.17,120.48,38.712,39.078,2.6615,-0.17347,2.6441,37.186,40.254,1.3473,1.2348,0.66736,0.21146,2.3813,0.87882,1.7587,263040000000,252390000000,65384000000,1.0195,3.9618,223100000000,292640000000,0.034374,0.031898,0.016441,0.47063,2.5376,0.020895,0.046001,0.0066875,0.0058317,0.0033641,0.58536,2.4811,0.0041607,0.0092864,10.229,9.631,2.7953,1.3381,4.5035,8.4985,11.057,2.1298,1.9455,0.80026,0.080361,2.9484,1.6715,2.7485,223250000000,225100000000,83136000000,-0.4287,3.2286,173850000000,281530000000,1371.9,1366.5,124.38,0.60219,3.3375,1287.4,1434.5,6.3323E+020,5.9935E+020,1.8368E+020,0.91086,3.3212,4.9842E+020,7.4362E+020,22.952,23.018,1.1961,-0.078837,2.3459,22.045,23.826,1.9861,1.6355,1.5761,1.0049,3.5109,0.8445,2.5985,7.6895,6.7245,3.4825,1.6586,5.2841,5.357,7.947,0
2.5849E+022,2.6047E+022,8.5132E+020,-0.63353,2.4578,2.528E+022,2.6375E+022,45.67,45.69,0.28152,-0.4488,2.1867,45.439,45.925,108.59,108.98,1.4329,-0.12867,1.6287,107.16,109.75,109.36,109.91,1.8117,-0.24069,1.9527,107.89,110.75,56.449,56.487,1.2837,-0.068401,1.5768,55.189,57.593,0.10482,0.10753,0.055118,-0.71125,3.4041,0.076299,0.14802,45121000000000,44446000000000,2295000000000,0.61883,2.8209,43730000000000,46831000000000,0.017653,0.016765,0.0035291,0.34999,1.6325,0.014632,0.021329,0.0058554,0.0056761,0.0013768,0.18382,1.5511,0.0046126,0.007308,1972,1982.3,71.386,-0.46449,3.3204,1950.7,2005.1,263.78,247.39,57.938,0.39479,1.6316,210.22,327.12,9740000000000,9542100000000,2864100000000,0.17302,1.6796,6922700000000,12531000000000,6725.2,6812.9,385.57,-0.29777,1.8563,6345.5,7046.5,4.0369E+023,4.0926E+023,1.4257E+022,-0.17044,1.2692,3.8823E+023,4.1759E+023,37.14,37.146,0.26033,-0.66873,3.1031,36.97,37.346,30.628,30.733,0.65671,-0.5975,2.8793,30.251,30.996,1724.1,1727.1,21.089,-1.1727,3.9525,1715.6,1739,0
1.273E+020,1.1877E+020,4.4711E+019,0.23065,1.5446,8.9309E+019,1.6916E+020,27.47,27.476,0.76309,0.55099,3.1433,26.928,27.955,120.7,122.52,9.7972,-0.37166,2.3718,114.87,127.79,120.63,121.69,9.3402,-0.4128,2.4282,116.58,127.63,45.647,45.522,2.7707,-0.051938,2.9666,44.135,47.904,0.66277,0.70902,0.68844,-0.57174,3.5683,0.33905,1.0585,212100000000,217790000000,68390000000,0.13312,1.6757,144920000000,262310000000,0.011043,0.013226,0.019198,-0.68469,3.9508,0.0027663,0.02381,0.0021029,0.0022006,0.0034709,-0.74684,3.844,0.00051207,0.0044941,8.2619,8.2415,2.8151,0.11558,1.5541,5.471,10.682,0.83429,0.6225,0.62458,0.95194,3.123,0.345,1.214,105840000000,92301000000,75275000000,0.51235,2.2404,46398000000,158440000000,1351,1379.3,161.9,-0.70556,2.2738,1270.5,1479,4.2398E+020,4.0624E+020,1.5924E+020,0.24909,1.597,2.6136E+020,5.5739E+020,22.119,22.155,1.2604,0.05626,2.3203,21.086,23.125,1.9898,1.6045,1.6463,1.3593,4.7876,0.926,2.4,13.063,12.833,1.7937,-0.048763,1.7816,11.579,14.858,0
1.6185E+022,1.6834E+022,8.6594E+021,-0.12622,1.6114,7.9203E+021,2.4283E+022,54.82,54.867,0.90364,0.5182,2.6925,54.008,55.427,40.448,40.234,4.1996,0.64691,3.0379,37.195,42.855,48.933,48.157,6.8018,0.74871,2.8799,43.418,52.54,28.879,29.89,2.3765,-0.84547,2.3684,27.609,30.56,0.13399,0.10592,0.20537,-2.0576,13.079,0.013766,0.26812,11633000000000,11912000000000,5854100000000,-0.12421,1.7987,6653400000000,16804000000000,-0.0086669,-0.0083861,0.0068543,-1.3066,5.3272,-0.01152,-0.0034567,-0.0044398,-0.0043813,0.0037755,-2.1968,8.7534,-0.0051439,-0.0020645,915.4,979.54,450.88,-0.38613,1.8182,508.59,1301.7,86.199,65.803,79.674,2.2309,7.9254,39.729,101.28,2242300000000,1771700000000,1973100000000,2.6911,10.065,1182100000000,2327300000000,13591,14824,2717.3,-0.82697,2.3097,11231,15805,4.3215E+023,4.3739E+023,2.5506E+023,-0.04325,1.5475,1.8565E+023,6.8736E+023,49.148,49.108,0.76171,0.33015,3.8179,48.689,49.492,52.579,52.555,1.5357,-0.12053,2.9607,51.578,53.912,1068.7,1050.8,356.4,0.038728,1.8379,795.21,1384.4,1
